English,Chinese
sensors,感應器
traded,交易的
tribal,部落的
whereby,藉以
whites,白人
counterparts,對應物
deceased,死亡的
develops,發展
dinner,晚餐
exhibited,展示的
lying,躺
many times,多次
planted,種植的
programmes,程式
revenge,復仇
sick,生病的
sung,唱過
surrendered,投降的
that's,那是
wives,妻子
Abraham,亞伯拉罕
any time,任何時間
bills,帳單
closure,關閉
enterprises,企業
fibers,纖維
flowing,流動的
illustration,插圖
playoffs,季後賽
suburbs,郊區
tens,數十
the necessary,必要的
torture,拷問
viable,可行的
walked,走過
commerce,商業
frozen,冷凍的
guidelines,指南
in love with,愛上
irregular,不規則的
metropolitan,都會的
poles,極地
puts,放置
respond to,回應
rifles,步槍
rises,上升
the works,作品
upgrade,升級
utilized,被利用
Morgan,摩根
associate,夥伴
centered,中心的
coil,線圈
corps,軍團
economic growth,經濟成長
exceeded,超過的
inland,內陸
investigations,調查
morality,道德
photograph,照片
preservation,保存
prone,易於
pronunciation,發音
similarity,相似性
thesis,論文
truck,卡車
adaptations,適應
byte,位元組
faithful,忠實的
functioning,運作
kinetic,動能的
marketed,銷售的
possibilities,可能性
resemble,相似
with the exception of,除了
Isaac,以撒
Thai,泰國的
algebraic,代數的
as for,至於
attribute,屬性
bombers,轟炸機
burden,負擔
companion,伴侶
counts,計數
couples,夫妻
defending,防衛
discoveries,發現
elderly,年老的
ensuing,隨後的
flour,麵粉
incomplete,不完整的
presumably,大概
refined,精煉的
reward,獎勵
sensitivity,敏感性
shifts,轉變
threshold,門檻
weakened,削弱的
Fred,弗雷德
Oklahoma,奧克拉荷馬
Sony,索尼
a million,一百萬
affecting,影響
answers,答案
belongs,屬於
cannon,大砲
comics,漫畫
et al,等人
identifies,識別
musician,音樂家
nutrients,養分
on the surface,表面上
publicity,宣傳
put on,穿上
surplus,剩餘的
torpedo,魚雷
transparent,透明的
Eugene,尤金
Prussian,普魯士的
albeit,雖然
allocated,分配的
averages,平均值
behaviors,行為
concludes,結論
damages,損害
emphasize,強調
ethics,道德
fun,有趣
g,克
kick,踢
locked,鎖住的
paradox,矛盾
portable,便攜的
reply,回答
spreading,擴展
starred,主演
telecommunications,電信
witnessed,目擊的
Hudson,哈德遜
Saudi,沙特的
cement,水泥
curriculum,課程
grammatical,語法的
namely,即
not take,不拿
regulatory,規範的
shadow,影子
socialist,社會主義的
structured,結構化的
Malaysia,馬來西亞
absorb,吸收
accessed,訪問
answered,回答
boxes,箱子
coding,程式編碼
criticised,批評的
devised,設計的
encouraging,鼓勵的
failures,失敗
fault,錯誤
grandfather,祖父
imaging,影像
investments,投資
marking,標記
modulation,調製
mythology,神話
regulate,調整
scholarly,學術的
studios,工作室
the specific,特定的
transaction,交易
voluntary,自願的
warned,警告
Byzantine,拜占庭
Ukraine,烏克蘭
Venice,威尼斯
aerial,空中的
disks,磁碟
efficiently,有效率地
fortune,財富
ideals,理想
incidents,事件
made for,為...製作
masters,碩士
packets,資料包
rendering,渲染
speculation,推測
tiles,磚塊
tones,調子
up on,向上
youngest,最年輕的
abundance,豐富
arises,出現
certified,認證的
clause,條款
conclusions,結論
lecture,演講
negotiate,談判
occurrence,事件
productivity,生產力
react,反應
rebuilt,重建的
remarked,評論的
sharply,急劇地
underwent,經歷
Holland,荷蘭
Jonathan,喬納森
achievements,成就
ally,盟友
as far as,至於
assumes,假設
cartridge,墨盒
copied,複製的
cut off,切斷
everywhere,到處
explaining,解釋
farther,更遠
fastest,最快
inability,無能
liberty,自由
obsolete,過時的
point to,指向
prayers,祈禱
resistant,抗...的
weaker,更弱
Hawaii,夏威夷
arrows,箭
beta,測試版
dam,水壩
eternal,永恆的
fertility,肥沃
filling,填充
hardly,幾乎不
helium,氦
indirectly,間接
receivers,接收器
registration,註冊
sealed,密封的
sheep,羊
soundtrack,原聲帶
staged,策劃的
sustain,維持
the crowd,人群
triple,三倍
Einstein,愛因斯坦
Linux,Linux
Lucas,盧卡斯
Peru,秘魯
Pius,比約（教宗）
actress,女演員
chairman,主席
citing,引用
continually,持續地
crowned,加冕的
enforce,執行
feels,感覺
freezing,凍結的
globe,地球
journalist,記者
obligations,義務
overlap,重疊
trademark,商標
venue,場地
warriors,戰士
Afghan,阿富汗的
Native Americans,美洲原住民
Rhine,萊茵河
Vatican,梵蒂岡
barriers,障礙
clocks,鐘
cup,杯子
exercises,練習
free of,沒有
mouse,老鼠或滑鼠
out for,追求
preceded,在...之前
rated,評價的
rejection,拒絕
spectral,光譜的
videos,影片
watching,看
widow,寡婦
Boeing,波音
Columbus,哥倫布
Denver,丹佛
Dick,迪克
Matthew,馬太
Saturn,土星
